Facility Name,CMS Certification Number,Alternate CCN 1,Alternate CCN 2,Alternate CCN 3,Address 1,Address 2,City,State,Zip Code,Network,Hemoglobin 12 g/dL Measure Score,Hemoglobin 12 g/dL Performance Period Rate,Number of Hemoglobin Eligible Patients Performance Period,Hemoglobin 12 g/dL Baseline Period Rate,Number of Hemoglobin Eligible Patients Baseline Period,Hemoglobin 12 g/dL Performance Score Applied,URR Measure Score,URR Performance Period Rate,Number of URR Eligible Patients Performance Period,URR Baseline Period Rate,Number of URR Eligible Patients Baseline Period,URR Performance Score Applied,Fistula Measure Score,Fistula Performance Period Rate,Number of Fistula Patient Months Performance Period,Fistula Baseline Period Rate,Number of Fistula Patient Months Baseline Period,Fistula Performance Score Applied,Catheter Measure Score,Catheter Performance Period Rate,Number of Catheter Patient Months Performance Period,Catheter Baseline Period Rate,Number of Catheter Patient Months Baseline Period,Catheter Performance Score Applied,Vascular Access Combined Measure Score,ICH CAHPS Admin Score,NHSN Event Reporting Score,Mineral Metabolism Reporting Score,Total Performance Score,PY2014 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2012",Date of ownership record update
COLUMBIA GREENE DIALYSIS CENTERS,332562,,,,2 SHERMAN POTTS DRIVE,,GHENT,NY,12075,2,10,0%,44,7%,43,Achievement,0,83%,42,86%,36,Achievement,3,55%,520,52%,415,Achievement,5,15%,473,25%,287,Achievement,4%,10,10,10,52%,0.5%,03/06/1996,INDEPENDENT,03/07/1996
BRONX DIALYSIS CENTER,332563,,,,1615 EASTCHESTER ROAD,"IHS OF NEW YORK, INC.",BRONX,NY,10461,2,9,1%,100,2%,100,Achievement,10,100%,101,96%,99,Achievement,9,72%,1213,66%,1125,Achievement,9,6%,1142,14%,802,Achievement,9%,10,10,10,94%,No reduction,08/20/1996,DAVITA,08/21/1996
FMS-HARLEM DIALYSIS CENTER,332564,,,,2615-21 FREDERICK DOUGLASS BOULEVARD,,NEW YORK,NY,10030,2,8,2%,54,3%,62,Achievement,10,100%,57,98%,61,Achievement,5,60%,657,66%,695,Achievement,8,9%,635,8%,481,Achievement,7%,10,10,10,85%,No reduction,12/04/1996,FRESENIUS MEDICAL CARE,01/02/2004
RIVERDALE DIALYSIS CENTER,332565,,,,170 WEST 233RD STREET,,BRONX,NY,10463,2,10,0%,97,7%,100,Achievement,8,99%,103,100%,95,Achievement,9,73%,1127,77%,1104,Achievement,7,10%,1072,8%,777,Achievement,8%,10,10,10,88%,No reduction,12/24/1996,DAVITA,12/25/1996
ROGOSIN KIDNEY CENTER - BKLYN,332566,,,,506 6TH STREET,BUCKLEY 7 - DIALYSIS,BROOKLYN,NY,11215,2,8,2%,115,17%,131,Achievement,7,98%,110,99%,119,Achievement,7,67%,1301,62%,1477,Achievement,7,10%,1245,14%,1038,Achievement,7%,10,10,10,76%,No reduction,03/28/1997,INDEPENDENT,03/29/1997
STATEN ISLAND DIALYSIS CLINIC/ AKC,332567,,,,1550 RICHMOND AVENUE,Suite 101,STATEN ISLAND,NY,10314,2,10,0%,78,5%,83,Achievement,2,95%,82,95%,85,Achievement,10,83%,847,75%,900,Achievement,9,7%,790,14%,627,Achievement,10%,10,10,10,76%,No reduction,04/18/1997,"DIALYSIS CLINIC, INC.",04/19/1997
"NEWTOWN DIALYSIS CENTER, INC",332568,,,,29-20 NEWTOWN AVENUE,,ASTORIA,NY,11102,2,1,13%,68,16%,67,Improvement,4,96%,68,97%,71,Achievement,8,68%,758,62%,819,Achievement,9,7%,710,12%,571,Achievement,9%,10,10,10,52%,0.5%,07/18/1997,INDEPENDENT,07/19/1997
FMS-ALBANY REGIONAL KIDNEY CENTER,332569,,,,2 CLARA BARTON DRIVE,,ALBANY,NY,12208,2,9,1%,135,0%,146,Achievement,4,96%,134,97%,129,Achievement,1,40%,1542,36%,1521,Improvement,0,30%,1499,31%,1079,Achievement,1%,10,10,10,52%,0.5%,05/19/1997,FRESENIUS MEDICAL CARE,05/20/1997
"STONY BROOK KIDNEY CENTER, DCI",332570,,,,26 RESEARCH WAY,,EAST SETAUKET,NY,11733,2,10,0%,106,3%,103,Achievement,4,96%,96,97%,86,Achievement,9,73%,1053,67%,947,Achievement,9,7%,994,11%,644,Achievement,9%,10,10,10,79%,No reduction,08/06/1997,"DIALYSIS CLINIC, INC.",08/07/1997
HUDSON VALLEY DIALYSIS CENTER,332571,,,,155 WHITE PLAINS ROAD,Suite 107,TARRYTOWN,NY,10591,2,10,0%,52,3%,68,Achievement,10,100%,56,97%,69,Achievement,9,71%,655,66%,773,Achievement,8,8%,625,3%,536,Achievement,9%,10,10,10,97%,No reduction,10/17/1997,DAVITA,10/18/1997
"RENAL CARE OF ROCKLAND, INC.",332572,,,,131 ROUTE 303,,VALLEY COTTAGE,NY,10989,2,6,4%,116,9%,120,Achievement,4,96%,114,95%,117,Achievement,6,63%,1267,59%,1307,Achievement,3,19%,1233,21%,899,Achievement,5%,10,10,10,55%,No reduction,10/08/1997,INDEPENDENT,10/09/1997
PEEKSKILL-CORTLANDT DIALYSIS CTR,332574,,,,2050 EAST MAIN STREET,Suite 15,CORTLANDT MANOR,NY,10567,2,8,2%,46,4%,50,Achievement,10,100%,48,100%,49,Achievement,10,80%,511,61%,502,Achievement,9,6%,460,15%,336,Achievement,10%,10,10,10,94%,No reduction,01/07/1998,DAVITA,01/08/1998
"BRONX RIVER NEPHRO CARE, INC",332576,,,,1616 BRONXDALE AVENUE,,BRONX,NY,10462,2,7,3%,78,2%,96,Achievement,10,100%,81,99%,96,Achievement,6,63%,936,57%,1101,Achievement,6,13%,899,19%,782,Achievement,6%,10,10,10,79%,No reduction,03/05/1998,INDEPENDENT,03/06/1998
FMS-ATLANTIC HEMODIALYSIS CENTER,332577,,,,339 HICKS STREET,,BROOKLYN,NY,11201,2,10,0%,116,0%,107,Achievement,10,100%,119,99%,110,Achievement,4,56%,1345,52%,1236,Achievement,6,12%,1294,15%,848,Achievement,5%,10,5,10,83%,No reduction,04/28/1998,FRESENIUS MEDICAL CARE,01/02/2004
BROOKLYN KIDNEY CENTER,332578,,,,184 STERLING PLACE,,BROOKLYN,NY,11217,2,10,0%,68,1%,67,Achievement,4,96%,77,97%,69,Achievement,9,73%,872,69%,754,Achievement,4,17%,828,20%,517,Achievement,7%,10,N/A,10,73%,No reduction,04/28/1998,OTHER CHAIN(number of facilities <20 ),01/05/1985
FMS-ATLANTIC PERITONEAL DIALYSIS CENTER,332579,,,,59-61 ATLANTIC AVENUE,,BROOKLYN,NY,11201,2,N/A,,8,,7,N/A,N/A,,0,,0,N/A,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,N/A,N/A,10,100%,No reduction,04/28/1998,FRESENIUS MEDICAL CARE,01/02/2004
UNIV. DIALYSIS CTR @ OSWEGO,332580,,,,140 STATE ROUTE 104,,OSWEGO,NY,13126,2,1,9%,35,3%,38,Achievement,10,100%,35,95%,37,Achievement,4,58%,413,56%,430,Achievement,5,15%,361,17%,304,Achievement,5%,10,10,10,58%,No reduction,03/19/1998,"DIALYSIS CLINIC, INC.",03/20/1998
"BROOKDALE PHYSICIANS DIALYSIS ASSOC, INC.",332581,,,,9701 CHURCH AVENUE,,BROOKLYN,NY,11212,2,9,1%,106,4%,112,Achievement,10,100%,111,98%,111,Achievement,6,64%,1175,63%,1210,Achievement,9,7%,1105,7%,845,Achievement,8%,10,10,10,91%,No reduction,05/04/1998,OTHER CHAIN(number of facilities <20 ),01/26/2007
NEW YORK RENAL ASSOCIATES,332582,,,,3468 PARK AVENUE,,BRONX,NY,10456,2,6,4%,103,4%,98,Achievement,8,99%,108,99%,105,Achievement,9,72%,1161,69%,1190,Achievement,7,11%,1097,17%,838,Achievement,8%,10,10,10,76%,No reduction,04/21/1998,INDEPENDENT,08/22/1998
QUEENS DIALYSIS CENTER,332583,,,,118-01 GUY R BREWER BOULEVARD,,JAMAICA,NY,11434,2,10,0%,83,16%,91,Achievement,10,100%,94,99%,90,Achievement,6,62%,1041,65%,996,Achievement,6,12%,996,9%,699,Achievement,6%,10,10,10,88%,No reduction,04/29/1998,DAVITA,04/30/1998
UNIV DIALYSIS CTR @ AUBURN,332584,,,,21 NELSON STREET,,AUBURN,NY,13021,2,7,3%,40,3%,39,Achievement,10,100%,40,100%,42,Achievement,6,63%,450,59%,447,Achievement,4,17%,427,15%,311,Achievement,5%,10,10,10,76%,No reduction,05/22/1998,"DIALYSIS CLINIC, INC.",05/23/1998
"NEW YORK DIALYSIS SERVICES, INC.",332585,,,,120 VICTOR HEIGHTS PARKWAY,,VICTOR,NY,14564,2,10,0%,44,0%,55,Achievement,10,100%,47,100%,52,Achievement,10,85%,551,73%,600,Achievement,8,8%,526,12%,412,Achievement,9%,0,10,0,90%,No reduction,08/17/1998,FRESENIUS MEDICAL CARE,08/18/1998
FMS-AMSTERDAM DIALYSIS CENTER,332586,,,,1810 RIVERFRONT CENTER,,AMSTERDAM,NY,12010,2,10,0%,71,30%,74,Achievement,2,95%,57,93%,61,Achievement,0,39%,636,40%,643,Achievement,0,46%,601,46%,435,Achievement,0%,10,10,10,46%,0.5%,08/14/1998,FRESENIUS MEDICAL CARE,08/15/1998
SPRINGFIELD DIALYSIS CENTER,332587,,,,134-35 SPRINGFIELD BOULEVARD,,JAMAICA,NY,11413,2,4,10%,73,17%,47,Improvement,4,96%,75,94%,49,Achievement,7,65%,822,70%,535,Achievement,7,10%,778,11%,361,Achievement,7%,10,10,10,55%,No reduction,03/08/1999,INDEPENDENT,04/04/2007
BOSTON POST ROAD DIALYSIS CENTER,332588,,,,4026 BOSTON ROAD,,BRONX,NY,10475,2,10,0%,65,6%,80,Achievement,10,100%,60,96%,73,Achievement,4,56%,682,54%,833,Achievement,8,9%,660,16%,594,Achievement,6%,10,N/A,10,88%,No reduction,07/10/1998,INDEPENDENT,07/06/1998
KEW GARDENS DIALYSIS CENTER,332589,,,,120-46 QUEENS BOULEVARD,,KEW GARDENS,NY,11415,2,10,0%,138,4%,164,Achievement,3,94%,152,91%,160,Improvement,6,64%,1718,61%,1809,Achievement,5,14%,1645,14%,1288,Achievement,6%,10,10,10,67%,No reduction,09/18/1998,INDEPENDENT,09/19/1998
SOUNDVIEW DIALYSIS CENTER,332590,,,,1622-24 BRUCKNER BOULEVARD,,BRONX,NY,10473,2,10,0%,59,7%,73,Achievement,10,100%,61,100%,74,Achievement,10,75%,699,67%,790,Achievement,9,7%,678,7%,547,Achievement,10%,10,10,10,100%,No reduction,03/03/1999,DAVITA,03/04/1999
PORT WASHINGTON DIALYSIS CENTER,332591,,,,50 SEAVIEW BOULEVARD,,PORT WASHINGTON,NY,11050,2,10,0%,42,3%,39,Achievement,10,100%,38,100%,37,Achievement,10,80%,466,83%,434,Achievement,9,6%,394,9%,282,Achievement,10%,10,10,10,100%,No reduction,03/26/1999,DAVITA,03/27/1999
LYNBROOK DIALYSIS CENTER,332592,,,,147 SCRANTON AVENUE,,LYNBROOK,NY,11563,2,10,0%,62,0%,65,Achievement,10,100%,70,100%,67,Achievement,9,71%,773,61%,710,Achievement,5,14%,703,9%,469,Achievement,7%,10,10,10,91%,No reduction,07/07/1999,DAVITA,07/08/1999
UPPER EAST SIDE DIALYSIS CENTER,332593,,,,210 EAST 86TH STREET,3rd FL.,NEW YORK,NY,10028,2,10,0%,105,4%,111,Achievement,5,97%,113,97%,110,Achievement,8,70%,1242,67%,1193,Achievement,8,9%,1158,9%,832,Achievement,8%,10,10,10,79%,No reduction,06/18/1999,INDEPENDENT,07/02/2005
PREMIER HEALTH SERVICES INC.,332594,,,,430 BEACH 68TH STREET,CENTER FOR RENAL CARE,ARVERNE,NY,11692,2,N/A,,0,0%,54,N/A,0,93%,41,100%,46,Achievement,3,38%,421,21%,539,Improvement,0,27%,360,26%,333,Achievement,2%,10,5,10,17%,2.0%,06/02/1999,INDEPENDENT,06/03/1999
FMS-ST. ALBAN'S DIALYSIS CENTER,332595,,,,172-70 BAISLEY BOULEVARD,,JAMAICA,NY,11434,2,8,2%,66,3%,64,Achievement,10,100%,65,97%,66,Achievement,9,72%,736,76%,667,Achievement,7,11%,690,7%,454,Achievement,8%,10,10,10,88%,No reduction,06/11/1999,FRESENIUS MEDICAL CARE,06/12/1999
DYKER HEIGHTS DIALYSIS CENTER,332596,,,,1435 86TH STREET,,BROOKLYN,NY,11228,2,10,0%,105,1%,108,Achievement,7,98%,106,95%,103,Achievement,10,81%,1170,76%,1173,Achievement,9,6%,1083,10%,821,Achievement,10%,10,10,10,91%,No reduction,05/25/1999,DAVITA,05/26/1999
NORTHTOWNS DIALYSIS CENTER,332597,,,,4041 DELAWARE AVENUE,STE 150,TONAWANDA,NY,14150,2,10,0%,29,0%,38,Achievement,10,100%,33,97%,39,Achievement,1,47%,351,49%,432,Achievement,0,35%,315,28%,306,Achievement,1%,10,10,10,73%,No reduction,07/10/1999,DAVITA,07/11/1999
MIDWOOD CHAIM ARUCHIM,332598,,,,1915 OCEAN AVENUE,DIALYSIS FACILITY,BROOKLYN,NY,11230,2,10,0%,90,5%,125,Achievement,8,99%,113,96%,121,Achievement,10,81%,1285,71%,1500,Achievement,7,11%,1229,13%,1041,Achievement,9%,10,10,10,91%,No reduction,08/20/1999,INDEPENDENT,08/21/1999
WHITE PLAINS DIALYSIS,332599,,,,200 HAMILTON AVENUE,Suite 13B,WHITE PLAINS,NY,10601,2,10,0%,80,7%,81,Achievement,10,100%,73,100%,72,Achievement,6,64%,860,52%,879,Achievement,10,5%,813,7%,621,Achievement,8%,10,10,10,94%,No reduction,09/24/1999,DAVITA,09/25/1999
SUBURBAN DIALYSIS CENTER,332600,,,,1542 MAPLE ROAD,,AMHERST,NY,14221,2,10,0%,41,2%,66,Achievement,10,100%,39,98%,59,Achievement,1,47%,428,48%,708,Achievement,0,29%,419,24%,496,Achievement,1%,10,10,10,73%,No reduction,01/05/2000,DAVITA,01/06/2000
YONKERS DIALYSIS CENTER,332602,,,,575 YONKERS AVENUE,,YONKERS,NY,10704,2,10,0%,79,8%,92,Achievement,8,99%,84,100%,85,Achievement,6,62%,968,63%,975,Achievement,7,11%,903,12%,688,Achievement,7%,10,10,10,85%,No reduction,09/24/1999,DAVITA,09/25/1999
QUEENS VILLAGE DIALYSIS CENTER,332603,,,,222-02 HEMPSTEAD AVENUE,SUITE 170,QUEENS VILLAGE,NY,11429,2,10,0%,87,4%,76,Achievement,8,99%,81,100%,69,Achievement,8,70%,1014,60%,831,Achievement,6,13%,903,18%,570,Achievement,7%,10,10,0,82%,No reduction,12/20/1999,DAVITA,12/21/1999
SHEEPSHEAD BAY RENAL CARE CENTER,332604,,,,26 BRIGHTON 11TH STREET,,BROOKLYN,NY,11235,2,10,0%,40,4%,52,Achievement,10,100%,45,98%,53,Achievement,10,82%,455,81%,558,Achievement,10,2%,414,8%,236,Achievement,10%,10,5,0,95%,No reduction,03/20/2000,DAVITA,03/21/2000
GARDEN CITY DIALYSIS CENTER,332605,,,,1100 STEWART AVENUE,SUITE 2,GARDEN CITY,NY,11530,2,10,0%,57,7%,67,Achievement,10,100%,61,100%,67,Achievement,9,71%,666,64%,714,Achievement,10,4%,621,12%,492,Achievement,10%,10,10,10,100%,No reduction,06/06/2000,DAVITA,06/03/2000
SOUND SHORE DIALYSIS CENTER,332606,330184,,,16 GUION PLACE,,NEW ROCHELLE,NY,10802,2,8,2%,102,3%,95,Achievement,8,99%,105,99%,98,Achievement,6,62%,1199,64%,1120,Achievement,3,19%,1078,18%,749,Achievement,5%,10,5,10,71%,No reduction,06/01/2000,OTHER CHAIN(number of facilities <20 ),06/02/2000
CHINATOWN DIALYSIS CENTER INC,332607,,,,213 HESTER STREET,2ND FLOOR,NEW YORK,NY,10013,2,9,1%,182,4%,166,Achievement,8,99%,175,100%,160,Achievement,10,81%,2068,83%,1785,Achievement,9,6%,1938,2%,1252,Achievement,10%,10,10,10,91%,No reduction,07/31/2000,INDEPENDENT,08/01/2000
ORCHARD PARK DIALYSIS CENTER,332608,,,,3801 TAYLOR ROAD,,ORCHARD PARK,NY,14127,2,10,0%,51,0%,54,Achievement,7,98%,58,100%,54,Achievement,8,68%,598,56%,590,Achievement,4,20%,544,31%,405,Improvement,6%,10,10,10,79%,No reduction,07/26/2000,DAVITA,07/02/2000
"WEST NASSAU DIALYSIS CTR, INC",332610,,,,75 ROCKAWAY AVENUE,,VALLEY STREAM,NY,11580,2,9,1%,90,8%,79,Achievement,8,99%,87,97%,74,Achievement,6,64%,957,50%,865,Achievement,5,14%,885,15%,586,Achievement,6%,10,10,10,79%,No reduction,10/20/2000,INDEPENDENT,02/03/2007
FMS-MORRIS PARK,332612,,,,1325 MORRIS PARK AVENUE,,BRONX,NY,10461,2,10,0%,111,2%,115,Achievement,5,97%,119,97%,115,Achievement,7,65%,1321,57%,1261,Achievement,8,9%,1250,14%,904,Achievement,8%,10,10,10,79%,No reduction,11/01/2000,FRESENIUS MEDICAL CARE,11/02/2000
FMS-EASTCHESTER,332613,333530,,,"1695 EASTCHESTER ROAD, FOURTH FLOOR",,BRONX,NY,10461,2,10,0%,100,3%,98,Achievement,8,99%,101,100%,101,Achievement,5,59%,1189,60%,1091,Achievement,5,15%,1119,16%,753,Achievement,5%,10,10,10,79%,No reduction,01/19/2001,FRESENIUS MEDICAL CARE,11/02/2000
YORKTOWN AKC,332614,,,,2649 STRANG BOULEVARD,"DIALYSIS CLINICS, INC",YORKTOWN HEIGHTS,NY,10598,2,10,0%,59,0%,56,Achievement,2,95%,58,96%,53,Achievement,4,57%,669,57%,592,Achievement,3,18%,612,14%,401,Achievement,4%,10,10,10,58%,No reduction,10/06/2000,"DIALYSIS CLINIC, INC.",10/07/2000
CENTRAL NY DIALYSIS CENTER,332615,,,,910 ERIE BOULEVARD EAST,,SYRACUSE,NY,13210,2,10,0%,152,4%,162,Achievement,7,98%,126,97%,133,Achievement,4,57%,1416,55%,1568,Achievement,3,18%,1354,16%,1128,Achievement,4%,10,10,10,73%,No reduction,12/20/2000,DAVITA,12/21/2000
"DIALYSIS CLINIC, INC EXTENSION-VALHALLA",332616,,,,95 GRASSLANDS ROAD - MACY PAVILION 240,WESTCHESTER MEDICAL CENTER,VALHALLA,NY,10595,2,N/A,,10,0%,12,N/A,N/A,,10,91%,11,N/A,3,53%,121,41%,97,Achievement,6,12%,112,0%,51,Achievement,5%,10,10,10,55%,No reduction,12/01/2000,"DIALYSIS CLINIC, INC.",12/02/2000
"DIALYSIS CLINIC INC, BRADHURST",332617,,,,19 BRADHURST AVENUE,,HAWTHORNE,NY,10532,2,10,0%,78,1%,70,Achievement,5,97%,68,98%,58,Achievement,5,59%,726,64%,633,Achievement,10,5%,684,6%,439,Achievement,8%,10,10,10,79%,No reduction,12/01/2000,"DIALYSIS CLINIC, INC.",12/02/2000
PELHAM PARKWAY DIALYSIS CENTER,332619,,,,1400 PELHAM PARKWAY SOUTH,BLDG 5 DIALYSIS CENTER,BRONX,NY,10461,2,10,0%,91,10%,92,Achievement,10,100%,83,97%,91,Achievement,9,72%,987,62%,984,Achievement,9,7%,929,9%,675,Achievement,9%,10,10,10,97%,No reduction,08/03/2001,INDEPENDENT,08/04/2001
NEW HYDE PARK DIALYSIS CENTER,332620,,,,1574 HILLSIDE AVENUE,NEW HYDE PARK DIALYSIS CENTER,NEW HYDE PARK,NY,11040,2,5,11%,107,24%,105,Improvement,10,100%,92,98%,100,Achievement,8,68%,1094,70%,1100,Achievement,7,11%,988,9%,745,Achievement,8%,10,10,10,79%,No reduction,08/06/2001,INDEPENDENT,04/04/2007
"COLUMBIA UNIV DIALYSIS CENTERS, INC",332621,,,,60 HAVEN AVENUE,SUITES B3 & B4,NEW YORK,NY,10032,2,10,0%,147,5%,156,Achievement,10,100%,130,100%,137,Achievement,6,63%,1531,60%,1586,Achievement,10,4%,1443,8%,1129,Achievement,8%,10,10,10,94%,No reduction,11/07/2001,DAVITA,11/08/2001
"NEW YORK AKC, INC",332622,,,,2651 EAST 14TH STREET,,BROOKLYN,NY,11235,2,10,0%,114,6%,100,Achievement,2,95%,108,97%,94,Achievement,10,77%,1284,79%,1092,Achievement,6,12%,1176,10%,765,Achievement,8%,10,10,10,70%,No reduction,03/27/2002,INDEPENDENT,01/02/2002
CAROL MOLINARO DIALYSIS CENTER,332625,332406,,,800 CASTLETON AVENUE,Suite G,STATEN ISLAND,NY,10310,2,10,0%,51,10%,50,Achievement,10,100%,53,98%,49,Achievement,6,62%,577,65%,570,Achievement,3,18%,491,18%,400,Achievement,5%,10,10,10,85%,No reduction,07/19/2002,"DIALYSIS CLINIC, INC.",01/02/2002
STRONG HEALTH DIALYSIS-BRIGHTON,332626,,,,2613 WEST HENRIETTA ROAD,,ROCHESTER,NY,14623,2,8,2%,138,4%,154,Achievement,5,97%,127,98%,133,Achievement,5,60%,1383,60%,1423,Achievement,0,31%,1305,33%,1018,Achievement,3%,10,10,10,58%,No reduction,05/30/2002,OTHER CHAIN(number of facilities <20 ),05/15/2007
STRONG HEALTH DIALYSIS-CLINTON CROSSINGS,332629,,,,2400 SOUTH CLINTON AVENUE,Building F,ROCHESTER,NY,14618,2,9,1%,98,3%,111,Achievement,7,98%,105,97%,112,Achievement,6,63%,1165,67%,1234,Achievement,1,23%,1128,21%,878,Achievement,4%,10,10,10,70%,No reduction,05/30/2002,OTHER CHAIN(number of facilities <20 ),01/02/2002
FMS-LIVING CENTER,332630,333513,,,500 HAHNEMANN TRAIL,Dialysis unit,PITTSFORD,NY,14534,2,10,0%,13,0%,11,Achievement,2,93%,14,91%,11,Improvement,4,57%,168,77%,133,Achievement,0,30%,158,19%,97,Achievement,2%,10,10,10,52%,0.5%,05/30/2002,FRESENIUS MEDICAL CARE,01/02/2002
FMS-FINGER LAKES,332631,,,,6385 VICTOR MANCHESTER ROAD,,VICTOR,NY,14564,2,10,0%,26,0%,18,Achievement,4,96%,26,100%,21,Achievement,10,81%,299,72%,236,Achievement,7,11%,274,20%,163,Achievement,9%,10,5,10,77%,No reduction,05/30/2002,FRESENIUS MEDICAL CARE,01/02/2002
HORTENSE AND LOUIS RUBIN DIALYSIS CTR INC,332632,,,,21 CROSSING BOULEVARD,,CLIFTON PARK,NY,12065,2,10,0%,96,5%,96,Achievement,8,99%,71,96%,68,Achievement,8,68%,1216,62%,1165,Achievement,3,18%,1136,22%,776,Achievement,6%,10,10,10,82%,No reduction,04/16/2003,INDEPENDENT,04/17/2003
DUTCHESS DIALYSIS CENTER,332633,,,,2585 SOUTH ROAD,,POUGHKEEPSIE,NY,12601,2,7,3%,146,4%,165,Achievement,7,98%,127,94%,138,Achievement,3,48%,1441,35%,1580,Improvement,6,13%,1372,18%,1103,Achievement,5%,10,10,10,67%,No reduction,07/01/2002,OTHER CHAIN(number of facilities <20 ),07/02/2002
WOODMERE DIALYSIS LLC,332634,,,,121 FRANKLIN PLACE,REHABILITATION AND HEALTH CARE CENTER,WOODMERE,NY,11598,2,10,0%,38,0%,42,Achievement,10,100%,36,100%,35,Achievement,2,51%,378,49%,428,Achievement,0,27%,339,28%,274,Achievement,1%,0,10,0,66%,No reduction,06/11/2003,INDEPENDENT,06/12/2003
MIDWOOD CHAYIM ARUCHIM DIALYSIS SITE II,332635,,,,1408 OCEAN AVENUE,2nd Floor,BROOKLYN,NY,11230,2,10,0%,47,3%,97,Achievement,0,88%,67,92%,91,Achievement,9,73%,734,64%,1044,Achievement,8,8%,679,20%,711,Achievement,9%,0,10,0,60%,No reduction,06/24/2003,INDEPENDENT,06/25/2003
ATLANTIC HEMODIALYSIS AT COBBLE HILL NURSING HOME,332636,,,,380 HENRY STREET,,BROOKLYN,NY,11201,2,10,0%,29,3%,29,Achievement,10,100%,22,100%,29,Achievement,0,29%,275,29%,265,Achievement,0,50%,238,33%,174,Achievement,0%,10,5,10,68%,No reduction,11/05/2002,OTHER CHAIN(number of facilities <20 ),01/02/2004
DCI NARROWS KIDNEY CENTER,332637,,,,6520 FORT HAMILTON PARKWAY,,BROOKLYN,NY,11219,2,10,0%,89,1%,99,Achievement,10,100%,93,99%,100,Achievement,10,78%,1003,71%,1128,Achievement,8,8%,964,12%,784,Achievement,9%,10,10,10,97%,No reduction,08/27/2003,"DIALYSIS CLINIC, INC.",08/28/2003
ISLAND REHABILITATIVE SERVICES-CLOVE LAKES EXTENSION,332638,,,,25 FANNING STREET,,STATEN ISLAND,NY,10314,2,10,0%,22,0%,18,Achievement,1,91%,22,89%,19,Improvement,6,64%,217,68%,157,Achievement,0,32%,168,22%,90,Achievement,3%,10,10,10,52%,0.5%,11/07/2003,INDEPENDENT,11/08/2003
IHS QUEENS DIALYSIS,332639,,,,71-12 PARK AVENUE,,FLUSHING,NY,11365,2,10,0%,94,9%,80,Achievement,10,100%,93,99%,73,Achievement,7,67%,1136,67%,905,Achievement,6,13%,1040,18%,617,Achievement,7%,10,10,10,91%,No reduction,12/22/2003,INDEPENDENT,12/23/2003
BRONX RIVER NEPHRO CARE-JEWISH HOME & HOSP LIFE CARE SYS,332640,,,,100 WEST KINGSBRIDGE ROAD,,BRONX,NY,10468,2,10,0%,58,2%,57,Achievement,10,100%,55,98%,50,Achievement,1,49%,619,44%,572,Achievement,0,34%,550,36%,353,Achievement,1%,10,10,10,73%,No reduction,02/02/2004,INDEPENDENT,02/03/2004
COLUMBIA-GREENE DIALYSIS (CATSKILL DIVISION),332641,,,,159 JEFFERSON HEIGHTS,GREENE MEDICAL ARTS BLDG,CATSKILL,NY,12414,2,10,0%,43,2%,51,Achievement,4,93%,45,88%,51,Improvement,7,66%,527,51%,574,Achievement,5,19%,497,37%,389,Improvement,6%,10,10,10,70%,No reduction,05/01/2004,INDEPENDENT,05/02/2004
GRAND CONCOURSE DIALYSIS FACILITY,332642,,,,1780 GRAND CONCOURSE,,BRONX,NY,10457,2,10,0%,88,2%,91,Achievement,7,98%,96,99%,91,Achievement,9,72%,1074,63%,1011,Achievement,7,10%,1014,10%,688,Achievement,8%,10,10,10,85%,No reduction,06/28/2004,INDEPENDENT,06/29/2004
GATEWAY DIALYSIS CENTER,332644,,,,1170 EAST 98TH STREET,,BROOKLYN,NY,11236,2,10,0%,98,0%,89,Achievement,10,100%,94,100%,85,Achievement,5,60%,980,56%,941,Achievement,7,10%,873,16%,650,Achievement,6%,10,10,10,88%,No reduction,09/08/2004,INDEPENDENT,09/09/2004
KINGS HARBOR HEALTH SERVICES LLC,332645,,,,2020 EAST GUN HILL ROAD,,BRONX,NY,10469,2,10,0%,27,2%,48,Achievement,10,100%,40,98%,43,Achievement,5,59%,480,40%,476,Achievement,9,7%,412,13%,321,Achievement,7%,10,5,10,89%,No reduction,09/24/2004,INDEPENDENT,09/25/2004
CENTRAL BROOKLYN DIALYSIS CENTER LLC,332646,,,,818 STERLING PLACE,,BROOKLYN,NY,11216,2,2,8%,133,10%,125,Achievement,10,100%,134,91%,128,Achievement,6,63%,1483,50%,1415,Achievement,6,14%,1375,31%,1001,Improvement,6%,10,10,10,64%,No reduction,01/28/2005,INDEPENDENT,01/29/2005
BROADWAY DIALYSIS CENTER AT ELMHURST HOSPITAL CENTER,332647,,,,79-01 BROADWAY D-7 WING,,FLUSHING,NY,11373,2,5,11%,55,24%,50,Improvement,10,100%,53,100%,48,Achievement,10,74%,601,72%,533,Achievement,10,2%,568,8%,368,Achievement,10%,10,10,10,85%,No reduction,07/05/2005,INDEPENDENT,07/06/2005
DAUGHTERS OF JACOB (DOJ) DIALYSIS CTR,332648,,,,1160 TELLER AVENUE,DIALYSIS UNIT,BRONX,NY,10456,2,10,0%,51,3%,59,Achievement,10,100%,50,94%,52,Achievement,1,42%,397,37%,602,Improvement,0,47%,372,41%,403,Achievement,1%,10,10,10,73%,No reduction,06/29/2005,INDEPENDENT,06/30/2005
